[2026-04-03T05:36:08.824Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.400zotvijr2rn.woff2 → 200 (?ms, ?B)
[2026-04-03T05:36:08.825Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fquilliam-hero%2F800%2F1000&w=640&q=75 → 304 (19ms, ?B)
[2026-04-03T05:36:08.825Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fquilliam-hero%2F800%2F400&w=1920&q=75 → 304 (19ms, ?B)
[2026-04-03T05:36:08.825Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (5ms, 64670B)
[2026-04-03T05:36:08.825Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1swe1pq._.js → 200 (21ms, 675B)
[2026-04-03T05:36:08.825Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (39ms, 750493B)
[2026-04-03T05:36:08.825Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (38ms, 1058095B)
[2026-04-03T05:36:08.825Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (21ms, 174634B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (20ms, 144344B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 200 (38ms, 747009B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0td08b2._.js → 200 (21ms, 249262B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (21ms, 1984B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (37ms, 756B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/turbopack-_06rjnlx._.js → 200 (37ms, 91085B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/node_modules_11llhag._.js → 200 (43ms, 437503B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/src_10tka9u._.js → 200 (37ms, 38359B)
